GeneName,SARS-CoV-1_L2FC,IAV_L2FC,MERS-CoV_L2FC,HPIV3_L2FC,RSV_L2FC,SARS-CoV-2(Calu-3)_L2FC,SARS-CoV-2(A549)_L2FC,SARS-CoV-2(A549-ACE2)LowMOI_L2FC,SARS-CoV-2(A549-ACE2)HiMOI_L2FC,SARS-CoV-2(A549-ACE2)-Ruxolitinib_L2FC,padj_SARS-CoV-1,padj_IAV,padj_MERS-CoV,padj_HPIV3,padj_RSV,padj_SARS-CoV-2(Calu-3),padj_SARS-CoV-2(A549),padj_SARS-CoV-2(A549-ACE2)LowMOI,padj_SARS-CoV-2(A549-ACE2)HiMOI,padj_SARS-CoV-2(A549-ACE2)-Ruxolitinib
IFNL1,0,1.3697,0,7.83798791,7.1427616,7.2399,0,0,5.07769153,3.54762827,1,1,1,2.62E-68,4.51E-44,2.53E-139,1,0,1,1
IFNL2,0,1.37928,0.12531,6.84392242,4.83832917,7.87792,0,0,5.24602641,1.94743576,1,1,1,1.48E-48,9.74E-17,5.69E-107,1,0,2.69E-20,1
IFNL3,0,1.81542,0,6.22504312,4.82734711,7.46801,0,0,5.04584757,2.51074643,1,1,1,3.66E-35,3.19E-16,5.51E-102,1,0,2.37E-18,1
IFNB1,0,0.46829,0,6.44045933,4.85703605,8.6983,-0.12712,0.38762,5.75519444,3.92002811,1,1,1,2.13E-42,4.92E-17,0,1,0,1.15E-28,1.54E-12
IFNL4,0,0.23979,0.12516,2.61564588,0,3.32584,0,0,1.53557052,0.29746973,1,1,1,1,1,4.20E-11,1,0,1,1
CCL5,-0.02971,2.43615,0.0376,3.30495423,4.01075786,4.89652,2.84202,0,1.36975915,0.06692108,1,1.11E-06,1,1,1,6.25E-197,1.08E-102,0,0.00029413,0.81720156
CCL4,0,0,0,3.5264107,3.81270883,0.61408,-0.21691,2.11189,3.19067365,1.74882212,1,1,1,7.78E-09,1.61E-09,0,1,0,3.40E-10,1
TLR3,-0.12159,-0.15015,-0.80242,3.78933241,2.72455302,2.38014,0.34487,0.3227,1.541934,-1.2878691,0.77820312,1,0.062944,2.53E-19,2.05E-12,5.27E-26,0.22467779,0.37619786,1.31E-05,0.00064067
IL23A,-0.21513,0.12652,0.19131,1.7679386,1.49328627,2.02048,1.74424,2.67292,2.36452633,2.09841726,0.60927055,1,0.70243945,1,1,1.91E-13,1.32E-07,6.55E-10,1,1
CCL22,0.23309,0,0.24449,0.63908223,1.04437831,3.31609,0.41138,0.28917,-0.0523563,0.72811776,1,1,1,1,1,4.22E-64,1,0,1,1
LGALS9,-0.16391,-0.14644,0.25399,1.39923871,0.77023041,2.43279,-0.58183,1.37529,2.80970967,2.04417588,0.58099536,1,0.28298473,1,1,5.09E-73,0.07825199,4.01E-05,5.80E-27,2.34E-15
IFIT2,0.16924,1.5167,0.07479,8.06189182,7.0300585,5.19288,0.74401,1.03186,6.45368519,3.46971072,0.58288938,0.00198659,0.85924461,7.12E-156,7.89E-189,0,0.00161627,0.00032421,1,1
OASL,-0.23452,0.04043,0.03073,7.61358424,7.3527958,3.38875,0.76767,1.05932,7.13716198,2.06755814,1,0.97362517,1,3.25E-124,8.55E-96,1.22E-176,0.00734303,0,1,2.58E-06
IFIT3,0.10588,0.22476,-0.35712,6.76136847,5.90483892,4.84201,0.74976,0.5497,5.96356698,1.60717321,0.67847733,0.80335618,0.07013572,7.53E-172,1.02E-197,0,2.46E-05,0.16608496,1,1
RSAD2,-0.12139,-0.07742,-0.12644,6.91856235,6.14851495,5.05465,-0.24441,0,4.33274549,2.41581858,1,1,1,6.12E-59,4.35E-38,0,1,0,1,1
OAS2,-0.15228,-0.76923,0.03289,7.4722759,6.84732463,4.80743,0.21402,0.32857,5.62446436,0.95611727,1,0.29432394,1,9.98E-76,1,0,1,0,1,0.0882575
MX1,-0.18936,-0.80066,-0.06035,7.38420342,6.34616539,3.82435,0.85963,0.23343,5.21736549,0.55653311,0.62407554,0.22307747,0.87784222,2.14E-161,5.10E-157,0,0.00040351,0,1,0.10283133
IFIT1,-0.24381,0.01582,-0.46847,7.47591043,6.51739365,4.4881,-1.2204,0.75816,6.67297434,1.60288897,0.20052015,0.9862813,0.0457006,2.04E-86,4.92E-94,0,2.59E-10,0.06513351,1,1
GBP1,0.12005,-0.12662,-0.4513,5.24061663,5.81996079,4.03727,1.63549,-0.35044,2.47878269,-2.0433275,0.15254389,1,2.91E-13,1.52E-57,1.47E-100,2.19E-253,2.02E-17,0.38331625,1,1.21E-13
TRIM22,-0.06973,-0.56874,-0.42231,6.17258069,5.13677668,5.49766,0.12099,-0.06314,2.95456822,-1.005964,0.6960177,0.48008551,0.00105401,1.40E-62,8.46E-42,1.08E-257,0.75936549,0.89429375,1,0.00419452
MX2,-0.26299,-0.39162,-0.72093,6.21972468,5.21861773,5.27587,0.02393,-0.02925,5.31336819,0.80745446,0.38710634,1,0.0111205,3.17E-41,8.98E-25,0,1,0,1,1
IRF1,-0.17644,-0.11452,0.66139,2.17103365,2.71951104,3.48409,0.71401,2.18976,3.06679682,2.5455946,0.23430177,0.847796,7.83E-09,8.15E-17,1.64E-26,3.88E-276,3.00E-11,1.92E-28,3.88E-147,1.56E-104
IRF7,-0.17227,-0.81423,-0.53428,2.53053303,2.95525258,3.09492,0.49415,2.0135,4.80505536,0.89451092,0.3877691,0.24401604,0.00605881,9.57E-07,1.53E-11,0,0.00406533,0,2.69E-97,0.03990588
STAT1,-0.12905,0.28795,-0.47438,2.51891012,2.04002769,2.46201,0.491,0.7892,1.52336964,-1.3258778,0.41485689,0.54008551,2.40E-05,1.60E-06,0.00010358,7.93E-57,4.34E-05,9.83E-13,3.17E-45,1
ISG20,-0.87631,-0.0386,-0.14396,1.69391692,1.97557668,2.94651,0.53324,0.25242,1.9341632,0.20787683,0.00581568,0.97310557,0.68959913,1,1,1.06E-68,0.0025137,0.56288481,2.10E-28,0.34416075
STAT2,-0.20801,-0.34256,-0.30178,2.6000484,2.83793388,2.3253,0.18519,0.27898,3.29154332,-0.0183338,0.05390736,0.46436006,0.00032416,4.56E-25,6.74E-31,4.47E-172,0.01960451,0.29287968,1.46E-128,0.92439598
ISG15,-0.3696,-0.62225,-0.49584,2.29468209,2.11999938,2.41385,-0.06577,0.2583,4.23540199,0.05209062,0.04157079,0.33707032,0.00038341,1,1,0,0.84042284,0.58466888,1,0.90901547
BST2,-0.2389,-0.36967,0.15565,3.81257432,3.40167209,3.52738,-0.54035,-0.50947,2.3778431,-0.6533785,0.55642514,1,0.74524524,4.07E-12,1.68E-08,0,1,0,5.98E-17,0.06289887
IFITM1,-0.5415,-1.11807,-0.74972,4.62916602,3.57608103,3.56887,0.1403,0.29465,4.57612869,-0.2330779,1.68E-06,1,2.86E-12,4.14E-19,5.52E-10,5.28E-157,0.74766593,0,3.21E-47,1
IFITM3,-0.62322,-1.02419,-0.8094,2.76013194,1.79671079,1.31427,-0.20282,0.17022,2.74735786,-1.2888153,1,0.1449734,1,3.20E-16,1.60E-06,7.22E-17,0.25073966,0,5.57E-28,9.11E-05
EIF2AK2,0.45254,0.24741,0.24415,2.01253849,1.99125557,2.09685,0.23309,0.02863,1.56435409,-0.1245814,1.92E-05,0.65663585,0.01729731,8.82E-06,1.92E-06,6.42E-44,0.03393912,0.90766763,1.13E-40,0.28161103
SAMHD1,0.01729,0.34541,-0.29569,2.41999328,2.25086516,2.25827,-0.68337,0.05852,2.33924789,-0.9301939,0.9216909,0.49204086,0.00525102,0.00018715,0.00055745,1.99E-52,3.77E-09,0.9132644,1,0.00341916
OAS1,0.14066,0.67244,0.19814,2.77936378,2.12509931,2.98729,-1.10069,-0.4756,3.28476534,-0.3496544,1,0.09073845,1,1.57E-32,2.95E-17,7.96E-221,2.73E-19,0.04854731,1,0.09535641
OAS3,0.17605,-0.03255,0.02087,2.52225004,2.3214728,2.86881,-0.7917,-0.20476,2.52462628,-0.6864278,0.35931591,0.9498432,0.92903747,2.87E-06,1.74E-05,1.37E-70,2.99E-37,0.29872849,8.76E-58,1
TRIM5,-0.11817,0.31244,-0.25532,1.71009357,1.43241813,2.14589,0.00743,-0.13008,1.42033729,0.12132863,0.15704551,0.5239976,0.00106745,0.00184062,0.0062957,3.66E-72,0.94812553,0.5276483,1.77E-42,0.30118985
PML,-0.08109,-0.74018,-0.22124,0.81645275,1.48703728,2.18266,0.01551,0.57394,1.86170993,0.10672107,0.62929458,0.19013554,0.06048518,0.14658378,0.00140576,1.24E-79,0.89217035,0.00568381,3.16E-48,0.67339529
IFITM2,-0.46292,-0.21592,-0.61874,1.27004865,0.45486473,2.47898,-0.17722,1.41275,1.32608337,-2.0412167,0.01121489,0.76290469,8.86E-05,0.02406737,0.46413459,4.53E-22,0.11104417,0.00015962,3.38E-10,5.82E-16
GBP5,0,0.12943,0.29784,4.47183297,5.4557939,4.65778,0.73982,0.15316,1.77631648,0.08507139,1,1,1,2.40E-16,3.70E-23,1.34E-32,1,0,1,1
CCL20,-0.38521,0.02009,-0.36312,1.04449095,0.69894001,3.92537,1.39588,7.27596,3.77487988,2.83483685,1,1,1,0.16382196,0.34655534,0,4.75E-18,0,1.05E-185,3.39E-60
ICAM1,-0.44063,0.23592,-0.12966,0.98537757,3.57449316,3.60872,2.75438,3.05828,1.76031334,1.85380428,1,1,1,0.00014447,8.87E-120,1.29E-222,3.60E-198,2.39E-19,3.15E-85,1.65E-54
CCL3,0.05884,0,0,3.37413916,5.36105309,0.26781,0.11217,0,0.98190963,1.22972689,1,1,1,8.83E-08,3.66E-21,0,1,0,1,1
NMI,0.05459,0.38195,-0.50355,2.01971868,1.58491425,1.95433,0.46757,-0.03656,1.02393095,-1.2059714,0.83665712,0.52759652,0.01065346,1.77E-18,8.01E-20,1.27E-51,3.78E-05,0.91809632,7.15E-19,3.40E-13
CSF1,-0.14203,-0.50282,0.52615,0.7822807,2.00792572,2.46268,0.8871,1.46144,1.54785557,1.36819625,0.18142488,0.28230738,1.45E-05,0.0004344,4.31E-58,7.80E-49,3.02E-38,0,1.25E-47,1.43E-31
IL1RAP,0.1011,0.43232,0.55074,1.02454492,2.30267885,0.52752,1.25929,0.22865,0.20463935,-0.2635906,0.63570702,0.59162919,0.00010554,0.16418367,0.00012777,0,1.66E-10,0.57017804,0.12265731,0.12553317
CX3CL1,-0.37946,-0.03441,0.88861,0.95248199,0.96161072,3.07008,1.20911,0.51231,1.60044939,1.86535728,1,1,0.01393868,0.04024838,0.03368751,2.28E-138,4.83E-07,0,3.14E-05,1.15E-06
VCAM1,-0.20161,-0.04191,-0.39177,0.20791256,-0.6848005,4.05549,0.1906,-0.02925,-0.1321297,1.02669881,1,1,1,1,1,0,1,0,1,1
ITGAM,0.09161,-0.03453,0.85679,0.18820947,0.22641536,2.321,0.0965,0.33304,0.63544548,0.59215968,1,0.97268881,1,0.71772623,0.65953228,2.09E-24,0.58741342,0.34198272,0.01731886,0.02903372
PTAFR,-0.04159,-0.15514,3.50212,0.14028419,2.26196661,2.93157,1.18121,0.258,-0.0002036,0.13568474,1,1,2.67E-36,1,2.42E-06,1.37E-70,0.00103578,0,0.99966727,0.71599622
LBP,-0.01734,0,0.21284,1.58657938,1.51209719,0.19089,1.78461,3.85041,0.70026239,-1.8767757,1,1,1,1,1,0,1.57E-08,3.27E-20,1,1
CCL2,-0.69305,1.14024,-0.26146,1.10942088,2.39868856,2.53769,1.125,2.83672,2.76043395,3.88825066,3.91E-06,0.00835586,0.11910358,2.25E-08,4.62E-26,1.20E-106,2.47E-24,3.54E-24,6.63E-82,5.57E-272
REL,0.55844,0.1517,0.7762,0.70501176,0.85072902,1.78364,0.43186,2.62076,3.13311431,3.2105737,0.0756988,0.86999942,0.01999624,0.20267776,0.09817855,1.71E-08,1,5.18E-15,3.78E-77,2.57E-88
XAF1,0.00241,-0.76496,-0.32469,6.98630285,6.07477283,4.4071,1.10503,0.28917,4.85998584,-0.0884158,0.99560004,1,0.27285909,6.65E-52,6.58E-34,1.44E-117,1,0,1,1
GBP4,-0.05538,0.07651,0.11974,6.31511327,5.92077727,4.33227,2.22012,0,3.61476062,-0.883563,1,1,1,2.11E-51,1.17E-39,1.94E-203,5.91E-10,0,1.87E-18,1
EGR1,-0.05926,1.4785,0.73294,4.67987194,4.6111045,2.43821,0.22914,8.18398,6.61656158,6.35420871,0.67838775,0.01854767,3.89E-11,1.25E-38,8.74E-38,8.05E-85,0.53526239,0,1.81E-192,5.94E-146
CASP1,-0.31329,0.05262,-0.79449,4.09358415,3.20476882,2.35498,0.76537,-0.16251,1.27655843,-0.8911648,0.00747904,1,3.08E-11,6.27E-16,2.16E-07,1.65E-23,1,0,1,1
SP100,0.22782,0.25724,-0.26559,2.43575211,2.19802249,2.40909,0.71613,-0.51952,2.0420714,0.43453923,0.17536164,0.63555901,0.0922771,6.78E-32,6.37E-49,6.61E-125,1.31E-18,0.02966887,1.50E-81,1.68E-06
B2M,-0.16589,0.47274,-0.87835,2.31911522,2.03947683,0.52245,0.44591,0.33587,1.11442895,0.45287604,0.13295874,0.25742068,2.80E-20,2.49E-16,5.07E-51,4.97E-10,5.65E-09,8.80E-05,4.85E-68,5.25E-10
TRIM21,-0.03609,0.13616,0.05032,2.02698346,1.70737203,2.19498,-0.02313,-0.42457,2.08304768,-0.1487361,0.81282149,0.82694776,0.76684964,4.36E-11,1.13E-10,3.87E-77,0.86299657,0.10999904,1.33E-57,0.39495691
HLA-F,-0.0181,-0.45341,0.10278,2.02690163,1.91871714,1.57822,0.61416,1.43629,3.49411878,2.32161777,1,0.57743737,1,1.87E-05,0.0001592,2.91E-28,3.29E-05,7.88E-08,3.59E-86,4.18E-26
GBP2,-0.36693,-0.80735,-0.72342,1.29782191,2.66286552,1.32407,1.55246,-0.32071,1.44790487,-0.4470729,0.00043361,1,6.40E-16,0.00929461,4.97E-13,3.83E-33,4.09E-31,0.19615017,1.73E-14,0.06155605
FYN,-0.31909,0.23073,0.04782,1.52270658,1.39630684,0.00243,2.15761,-1.10882,-0.0779253,-0.2671419,0.02160776,1,0.77826226,0.00119051,0.00099742,0.98850003,4.02E-44,0,0.8445744,0.44829202
NOD2,0.01909,0.05121,0.87977,0.67933753,0.28523841,2.67502,1.07928,0.32896,2.63684925,2.66563402,1,1,1,1,1,4.22E-18,1,0,1.23E-09,4.90E-11
MT2A,-0.12593,0.02346,-0.49688,-0.1644911,0.12583971,2.33833,1.16956,-0.65081,1.00028676,-0.6338648,0.58048337,1,0.00161351,1,1,1.54E-30,1.95E-34,0.07845558,4.86E-13,2.97E-05
IFI35,-0.40886,-0.54991,-0.57902,0.90045677,0.72243681,2.21792,-0.13,0.16107,2.30879984,-1.0190597,0.05751058,0.40560716,0.00722638,1,1,1.54E-106,0.33212743,0.68734681,1,1
HLA-B,-0.36633,0.28353,-0.87485,1.43133053,1.64900762,0.58539,1.27356,2.88602,1.82915896,0.95702907,0.00154663,0.6507619,4.56E-23,0.0397739,1,1.72E-06,9.68E-37,2.80E-106,3.18E-96,1.30E-24
FGB,0,0.0415,0.12531,0.11496859,-1.5700474,0.6677,-0.59517,2.40114,-0.1936979,-2.8513939,1,0.9718821,1,0.86187595,0.00022215,0,1,2.12E-58,1,8.63E-27
CXCL10,-0.15083,0.19027,-0.38458,5.81497578,4.01862311,5.8811,-0.79654,0,2.34589531,0.20827294,1,1,1,7.47E-37,4.76E-13,3.69E-252,1,0,1,1
IL6,-0.98386,0.12364,-0.10024,3.65010617,4.99724826,5.93856,3.77965,1.81478,3.00606537,0.48604704,1.27E-09,1,0.56900119,4.99E-16,8.27E-31,0,2.94E-33,0,2.59E-26,0.19356108
TNF,0,0.05121,0.70535,1.05929672,2.6999032,6.96322,0.87585,3.78775,4.16178036,4.17975668,1,1,1,1,3.13E-06,0,1,0,3.70E-29,8.31E-30
CXCL9,0.08563,0,-0.08284,0,0,2.99146,0,0,0.20734784,-0.144094,1,1,1,1,1,5.74E-11,1,0,1,1
ZC3H12A,-0.26063,-0.32213,2.08576,0.32924018,2.31351778,1.66983,0.06798,2.25043,3.16439619,3.13554196,0.1056691,0.54411449,4.08E-102,0.43897661,5.61E-15,4.00E-25,0.48617939,1.15E-33,2.81E-175,1.27E-197
GBP3,0.37373,0.45254,-0.35958,3.47144232,3.79677568,1.64946,1.37751,0.50297,1.27955955,-1.441536,1,0.58374125,1,3.51E-32,3.39E-53,4.58E-24,4.63E-20,0.24783417,1.55E-10,1.53E-13
IL12A,-0.14359,0.25639,0.06772,2.11956578,2.25464652,3.46738,0.52449,0.25505,1.44160707,1.05698095,1,1,1,0.00014278,1.93E-05,9.01E-31,0.11536932,0.66007704,0.00051955,0.01359457
DUOX2,0.0013,0.02542,0.66317,0.64188974,1.8630371,3.89442,1.13755,-0.56113,1.71230743,-0.3076219,1,1,1,1,1,1.06E-38,0.00686166,0,1,1
CXCL11,0.02152,0.05121,0.36041,5.25159235,5.04867548,5.84274,0.00047,0.38762,3.66074131,1.8028234,1,1,1,9.50E-24,4.35E-19,5.61E-214,1,0,1,1
CXCL2,-0.58038,0.20152,0.93,1.28244952,2.58204268,3.32586,1.70797,6.61131,5.2726509,5.26686232,0.06031494,0.82659192,1,7.94E-10,4.61E-52,2.80E-169,1,4.85E-258,0,0
CXCL3,-0.48728,-0.00973,0.22886,1.22944052,1.76006797,3.04065,1.60065,5.43728,4.0283518,4.26573962,1,0.9913445,1,0.06307642,0.00219248,0,2.36E-27,0,0,1.39E-219
IL1A,-0.32967,0.11975,-0.01821,2.32044291,3.99985724,5.14777,3.95355,3.27058,5.22216494,4.33068564,1,1,1,2.74E-06,6.54E-22,0,1.24E-61,0,1,1.40E-84
IL1B,-0.86576,-0.00018,-0.50233,1.65533578,4.95332805,4.13847,2.25436,-0.19885,0.69265415,1.01790854,1,1,1,0.01073122,1.13E-35,2.61E-238,6.36E-14,0,1,1
IRAK2,-0.11864,0.37655,0.78213,1.23454149,2.39269249,2.63527,1.83344,0.76167,2.46163469,2.29430972,0.40543702,0.51015879,6.57E-16,0.02983607,1.77E-07,8.97E-127,1.62E-75,1.47E-09,5.23E-247,2.41E-133
JUN,0.18915,0.35711,1.0282,1.49108557,1.75396546,2.39388,1.73661,1.52947,3.04246671,2.90296672,0.17281016,0.43776235,3.44E-24,0.00107648,7.06E-06,1.64E-52,1,2.51E-107,1,4.56E-225
TNFRSF9,0.19735,0.19728,1.33298,1.50248487,3.67906322,2.6956,2.16999,-0.08477,3.05102677,3.3343083,1,0.83968922,1,0.00223124,1.01E-19,1.17E-07,4.88E-41,0.75438832,1.33E-126,5.19E-117
TNFRSF1B,-0.41658,0.17651,-0.09766,1.56420286,2.44313282,1.52609,1.3064,0.55186,0.71261302,1.00082031,0.02460038,1,0.47761599,1,1.72E-05,5.43E-10,0.00087409,0,1,1
IL20RB,-0.46231,0.2536,0.27417,0.92139488,2.24593483,0.62858,1.83532,0.90597,3.79039475,3.11433378,0.12200208,1,0.34071812,1,6.51E-06,0.04720434,2.19E-10,0.11155506,1.15E-34,7.54E-22
F3,0.05111,0.17623,-0.20354,0.40704975,2.00358009,1.77381,1.15369,0.07571,2.29668554,1.72886037,1,0.85658002,1,0.38725097,1.90E-10,5.97E-69,1,0.9129577,1.34E-33,3.57E-29
IL4R,-0.35275,-0.32008,0.11554,0.86231499,2.03944436,0.59179,0.47642,0.87684,1.39825624,0.83767181,0.05189384,0.51714372,0.56696306,0.00411263,2.07E-23,5.16E-09,9.90E-05,8.75E-05,4.62E-33,2.03E-10
TNFRSF10A,-0.25629,0.14537,0.06081,0.86344423,2.17793676,1.07664,0.50747,-0.09657,0.5020168,0.42308995,0.39249073,0.82107085,0.85877999,0.10685489,1.57E-07,2.39E-11,5.61E-07,0.52658718,3.40E-05,3.71E-05
KIT,0.02537,0.05121,0.12038,0,0,2.04254,-0.12712,-0.04114,1.20727358,0.26804011,1,1,1,1,1,0,1,0,1,1
THBS1,0.23053,0.24598,-0.26369,0.02608482,0.84211773,2.60006,-0.50507,-1.08712,-0.8164504,-0.7538372,0.08018708,0.56584651,0.041424,0.9742257,0.29155844,7.20E-68,6.53E-10,6.48E-18,1.20E-13,1.77E-10
TNFRSF11B,-0.25272,0,-0.79604,0.37023791,0.19300023,2.20289,-0.05323,-0.51175,-1.4992418,-0.7278609,1,1,1,1,1,4.61E-51,1,0,1,1
CXCL1,-0.42626,0.5685,-0.35652,0.41810874,2.55649272,1.42005,1.1986,5.24585,2.61320572,2.28041737,1,0.41843568,1,0.06074582,3.09E-137,4.43E-68,4.49E-21,0,3.95E-154,3.54E-68
FOS,-0.02057,0.3819,1.16388,0.28134158,1.47142553,1.18048,-0.01724,2.89916,2.28921084,2.08492421,0.96355001,0.66010017,2.88E-05,0.61488873,0.00576156,6.06E-14,1,1.29E-45,1.17E-68,3.44E-76
SELE,0.02051,0,0.2838,0.32266461,-0.239784,2.77545,2.0976,3.9286,4.8546426,4.87340387,1,1,1,1,1,0,1,0,1.59E-25,3.33E-27
NGFR,0.28755,0.25862,0.05382,0.07980096,0.48389124,2.01928,0.84135,2.50065,1.71230786,2.15008836,1,1,1,1,1,1.46E-08,0.04587488,0,4.60E-07,8.73E-11
PTGS2,-0.51825,0.34839,-0.74515,0.81065884,1.03962938,3.12538,0.95584,2.41097,2.13522045,1.65733517,1,0.52935668,1,0.31036981,0.1946721,0,7.51E-14,2.31E-83,9.73E-116,5.08E-40
LAMP3,-0.19275,0.07897,-0.24721,5.54441896,4.67731731,3.60746,1.68511,0.31269,3.17282219,-0.7935892,1,1,1,1.48E-36,2.81E-26,1.73E-280,3.43E-07,0,3.97E-25,0.10051825
CD274,0.22802,0.65388,0.08474,4.06220357,4.59454375,4.9398,1.24643,-0.14561,4.01083021,1.61426014,0.15695673,1,0.60751878,3.62E-20,4.48E-31,2.21E-115,7.49E-06,0,1.20E-46,1.89E-08
NFKBIA,-0.01511,0.33539,1.32758,1.3916385,1.81926268,4.02958,0.62274,3.18695,5.2320264,5.18193782,0.89479051,0.40388231,1.82E-66,0.00034903,1.23E-07,3.88E-276,1.29E-16,0,0,0
CSF3,-0.64646,0,-0.45187,0.74880764,3.56052537,4.69959,1.448,2.568,2.31588295,1.15701667,1,1,1,1,2.84E-12,7.12E-34,0.00023714,0,1,1
TNFSF13B,0.00227,0.30596,0.30152,4.23009451,3.41009236,2.63906,-0.01057,0.06157,2.24384705,0.57920117,0.99615702,1,0.52277216,2.25E-15,4.23E-08,2.56E-14,1,0,1.70E-07,1
IL7R,0.0387,-0.03441,0.02382,1.96248402,4.04168448,1.09821,0.24607,-0.17307,-0.0696531,-0.0909791,0.78000842,1,0.79800234,1,7.97E-11,0,1,0,1,0.85597341
KMO,0.20192,-0.09244,0.22214,1.53930831,2.49640684,3.52531,0.59461,-0.36419,1.38832211,0.82488683,1,1,1,1,1,2.18E-15,0.15515903,0,0.00044968,0.07626878
KLF4,-0.33068,0.31569,-0.10066,2.02441148,2.4493386,2.66686,0.62204,0.61301,2.47702216,2.14287308,0.12784507,0.65488222,0.66560465,5.10E-05,4.53E-08,2.41E-106,1.55E-05,0.00020783,5.24E-168,2.26E-122
CEACAM1,-0.17191,-0.06716,-0.00123,2.86600268,2.20393387,1.15919,-1.1845,-0.80038,1.14786748,-1.7224832,1,0.94957775,1,3.75E-12,2.04E-09,2.69E-30,2.44E-10,8.90E-06,1,2.03E-18
CD38,-0.01391,0.50214,0.05054,2.30468855,1.8557451,0.67086,0.10415,-0.35332,0.08083779,-2.1135408,1,0.32851986,1,1.81E-13,5.86E-11,0.06125232,0.54517652,0.1442711,1,1.14E-16
PNPT1,0.33174,0.51153,0.10612,2.35068195,1.83373104,2.37227,0.17595,-0.04793,2.26336247,0.09551663,5.05E-05,0.23677605,0.39037278,1.50E-10,5.40E-08,9.71E-71,0.07960122,0.85047968,3.79E-137,0.35922261
BIRC3,0.59816,0.82121,1.00972,2.1708843,2.69450266,2.08509,1.87958,0.75563,2.18898698,2.22231154,1,0.05058474,1,3.34E-17,1.83E-32,3.06E-33,1.37E-68,0.00015177,5.07E-171,5.30E-195
NKX3-1,0.22098,-0.02286,0.57846,1.3969052,2.57193388,2.15632,1.38748,0.9281,2.89499701,1.70498382,0.39652945,0.98142854,0.00669361,1.33E-09,1.46E-30,2.16E-29,8.98E-23,0.00479323,5.59E-83,1.04E-30
EREG,0.08916,1.07711,0.30248,2.11397629,1.83820552,1.72409,2.92228,2.45057,3.11878795,3.15463315,0.8441862,0.00029433,0.52663972,0.00068692,0.00342962,0,8.92E-110,3.62E-62,5.26E-292,0
SOCS3,-0.22431,-0.12864,0.11861,1.34039601,3.11394402,1.01444,1.56934,2.22887,2.17230836,0.67697845,0.12655474,1,0.4520209,0.00148398,2.13E-39,3.36E-19,1.45E-46,1.14E-29,2.60E-108,1.35E-08
ETS1,0.37713,0.25889,0.86506,1.1569045,2.15975812,1.76428,1.78719,0.07373,1.98117318,1.93204265,6.36E-09,0.64974268,2.55E-42,0.08332358,9.37E-05,6.09E-65,1.71E-76,0.79471839,1.33E-40,2.81E-36
GFPT2,-0.00552,0.43402,0.08814,1.2876147,2.93703666,1.95318,1.58136,-0.70011,0.43571314,-0.0316051,0.97832825,0.22197415,0.57822908,5.03E-21,3.80E-121,2.14E-05,8.77E-48,1.52E-11,4.94E-08,0.78902625
IL15RA,-0.39098,-0.0991,-0.18849,1.94489148,2.17388479,2.00648,1.77384,0.00069,2.16286084,-0.0053834,0.03928857,0.92356067,0.2949559,0.00013859,1.08E-05,3.57E-43,3.68E-12,0.9989597,1.26E-12,0.99010212
IL3RA,-0.22534,-0.2691,0.43138,0.66519077,1.18881163,0.38459,2.3449,0.45828,0.19025809,0.23797077,0.52147896,0.77457804,0.130547,1,1,0,2.80E-08,0,0.55233128,0.4611478
HK2,-0.12594,0.13107,-0.27163,1.68717804,3.66813702,0.78456,1.89095,0.10047,1.88583612,1.50599967,0.29845844,1,0.01869235,0.00029668,7.69E-28,3.01E-12,1,0,1,1
MMP1,0.35104,0.33698,0.07952,0.749656,4.20706235,-0.12421,2.26845,0.48135,0.18058848,-0.5364242,1,1,1,1,1.13E-14,0.29628763,7.43E-09,0,1,1
SOD2,-0.23901,0.25655,-0.32717,0.99474944,2.94911545,1.98347,1.9007,0.65104,1.34202737,0.56345049,0.14359345,0.68900953,0.02156979,1.79E-05,2.76E-62,1.79E-99,4.43E-117,8.79E-18,5.25E-72,6.68E-08
OSMR,-0.16458,0.13972,-0.53808,1.21127273,2.13339445,0.85903,1.37782,0.34184,0.1057662,-0.9539279,0.10753554,0.75869978,1.93E-10,0.0446193,1.56E-05,7.30E-17,5.38E-30,0.00041495,0.13151435,2.36E-48
SELPLG,-0.03691,1.37332,0.29161,-0.0951595,2.36770437,-0.26986,-0.16314,0.87187,1.6136023,1.4478652,0.90096267,1,0.1654011,1,1.80E-06,0,1,0,1.81E-05,0.00022937
IL21R,0.24454,-0.21239,0.38257,0.47600263,3.3684954,0.71648,0.57717,-0.02925,0.2127034,0.52060789,1,1,1,1,7.28E-08,0,0.19805968,0,1,1
MMP9,0.05656,-0.13983,0.19832,0.99661483,3.17601678,0.48244,1.78274,-0.16452,-0.6427511,-0.6094137,1,1,1,1,1.35E-07,0,1.53E-05,0,1,1
LCP1,0,-0.20762,0,0.61188676,3.33744428,-0.13974,1.09656,-1.19834,0.17788516,0.57347077,1,1,1,1,3.01E-10,0.20901042,0.00566945,0,0.76468675,0.18880169
CSF2,-0.51678,0,-0.21368,0.10986139,1.69117237,6.45824,3.25363,-0.02925,3.92487713,4.49042139,1,1,0.70887076,1,0.01908417,1.02E-136,6.39E-24,0,1,1
FLT3LG,-0.15558,-0.15257,-0.22643,0.57838188,0.73073783,2.20895,1.08183,-0.34496,2.50128881,0.4751462,0.464254,1,0.27895766,0.44861348,0.3626898,3.33E-19,5.29E-07,0,4.93E-09,1
