GeneName,SARS-CoV-1_L2FC,IAV_L2FC,MERS-CoV_L2FC,HPIV3_L2FC,RSV_L2FC,SARS-CoV-2(Calu-3)_L2FC,SARS-CoV-2(A549)_L2FC,SARS-CoV-2(A549-ACE2)LowMOI_L2FC,SARS-CoV-2(A549-ACE2)HiMOI_L2FC,SARS-CoV-2(A549-ACE2)-Ruxolitinib_L2FC,padj_SARS-CoV-1,padj_IAV,padj_MERS-CoV,padj_HPIV3,padj_RSV,padj_SARS-CoV-2(Calu-3),padj_SARS-CoV-2(A549),padj_SARS-CoV-2(A549-ACE2)LowMOI,padj_SARS-CoV-2(A549-ACE2)HiMOI,padj_SARS-CoV-2(A549-ACE2)-Ruxolitinib
LOC100289650,0.04328,0,0.43773,0,0,0,0,0,0.17307684,-0.1637694,1,1,1,1,1,0,1,0,1,1
LOC100289656,0,0,0.12516,0,0,0,0,0,0,0,1,1,1,1,1,0,1,0,1,1
LOC100289673,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,0,1,0,1,1
LOC100292680,-0.32346,0.43511,0.87004,0.13642324,0.37609319,-0.04252,-0.80591,0.35136,0.05846824,0.8591365,0.40135951,1,0.00850574,1,1,0,1,0,1,1
LOC100294145,0.39142,0.30791,-0.46113,-0.6511186,-1.7311933,-1.02934,-0.91711,0.34077,-0.7083267,-0.6899878,0.03165613,0.66939387,3.32E-05,0.05812241,3.09E-10,1.11E-17,4.24E-23,0.17400451,2.40E-06,2.28E-05
LOC100294362,0.0267,-0.40962,0.12842,-0.4929062,-0.53209,-0.14739,0.12367,0.23787,0.97198815,0.05518613,0.95845755,1,0.81726493,1,1,0,1,0,1,1
LOC100302640,0.00049,0,-0.02816,-0.2070152,-0.2343606,-0.01255,-0.15974,0.31719,0,0,1,1,1,1,1,0,1,0,1,1
LOC100303749,0.09073,0,0.18356,0,0,0,0,0,-0.1438204,0.14719483,1,1,1,1,1,0,1,0,1,1
LOC100335030,0.19232,0.08498,0.27002,0.8657641,0.94022489,0.16095,0.01423,-0.0656,1.90130834,1.81865786,1,1,1,1,1,0,1,0,4.51E-05,2.59E-05
LOC100379224,0.47172,0.02964,0.51068,0.01418366,-0.2472308,0.39529,0.07879,1.61121,1.4336292,1.77410448,0.12453244,1,0.09365795,1,1,0.40747435,0.84977543,0,1,1
LOC100498859,-0.03599,0,0.05231,0,0,1.20215,0,0,0.81987802,0.3869017,1,1,1,1,1,0.00267714,1,0,1,1
LOC100499183,0.14435,0,0.56474,0,0,0.26781,0,-0.02925,0.20734784,-0.144094,1,1,1,1,1,0,1,0,1,1
LOC100499194,0,0,0.12477,0,0,0,0.07802,0,0,0.26804011,1,1,1,1,1,0,1,0,1,1
LOC100499227,0.19663,-0.47359,-0.66485,-0.7285611,-1.2125014,-0.8847,-0.01247,-0.16127,-0.6568462,-0.3559612,1,1,1,0.36791576,1,0,0.97376253,0,1,1
LOC100499405,0.08202,-0.13074,-0.00185,0,0,-0.04004,0.11831,-0.05306,0.70335648,-0.2885031,1,1,1,1,1,0,1,0,1,1
LOC100499484,0.30452,-0.09244,-0.17186,0.58379124,-0.1542864,-0.51129,0.08636,-0.29837,-0.3964827,-0.2073128,0.41964734,1,0.72974234,1,1,0,0.8440598,0,1,1
LOC100499484-C9ORF174,0.04686,0,-0.19642,0,0,0,0.07802,0,0,0,1,1,1,1,1,0,1,0,1,1
LOC100499489,-0.16099,0.12053,-0.40743,0.10915181,0.67700106,0.21534,0.19719,0.11327,-0.390949,-0.0573045,0.39025577,1,0.0065171,1,1,0.60964465,1,0,1,1
LOC100500773,0,0,0.12477,0,0,0,0,0,0,0.26804011,1,1,1,1,1,0,1,0,1,1
LOC100505474,0,0.05121,0,0.10026391,0,0.85431,0.32862,0,0.50395332,0.98241205,1,1,1,1,1,0,1,0,1,1
LOC100505478,-0.0365,-0.04191,-0.08284,-0.0753289,-0.2343606,0,-0.31061,-0.37666,-0.390949,-0.0655677,1,1,1,1,1,0,1,0,1,1
LOC100505495,0.09073,0.05121,0.18319,-0.3788065,-0.2824675,0.09931,-0.31435,-0.02925,1.92015509,1.01232034,1,1,1,1,1,0,1,0,1,1
LOC100505540,0.18969,0,0,0,0,0,0,0,0,0,1,1,1,1,1,0,1,0,1,1
LOC100505545,0.05726,0,0,0,0,0,0,0,0,0,1,1,1,1,1,0,1,0,1,1
LOC100505549,0.02003,-0.04684,-0.34095,0.04941679,-0.0605971,0.38216,0.00113,0.15264,-1.0082208,0.19586269,0.96049952,0.96756104,0.31542231,0.9253409,0.92088768,0.44344019,0.99658773,0,1,1
LOC100505619,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,0,1,0,1,1
LOC100505622,-0.02653,-0.02082,0.24513,0.10026391,0.29815597,0.75617,0.16124,0,0,0.29746973,1,1,1,1,1,0,1,0,1,1
LOC100505624,-0.15538,-0.04191,0.06439,0,0,0,0,0,0.81987802,0.65297067,1,1,1,1,1,0,1,0,1,1
LOC100505633,-0.23019,-0.06913,-0.51872,-0.6737133,-1.5771165,1.82221,0.07674,0.51573,-0.7912379,-0.4548969,0.49824652,1,0.13743406,1,1,3.02E-09,1,0,1,1
