"source","term_name","term_id","adjusted_p_value","negative_log10_of_adjusted_p_value","term_size","query_size","intersection_size","effective_domain_size","intersections"
"GO:BP","cellular response to cytokine stimulus","GO:0071345","1.0908799740128727e-14","13.96222303079704","1143","26","19","18017","IFI6,IRF7,PARP9,IRF9,IFIT3,TRIM34,STAT1,IFIT2,CCL20,SAMHD1,IFI35,PARP14,SP100,GBP3,USP18,B2M,STAT2,TRIM25,EDN1"
"GO:BP","response to stress","GO:0006950","5.3180419668922374e-14","13.274248239791627","4190","26","26","18017","IFI6,IRF7,DDX60,PARP9,IRF9,IFIT3,DDX58,IFIH1,TRIM34,DTX3L,STAT1,IFIT2,CCL20,TRIM14,SAMHD1,IFI35,PARP14,HERC5,SP100,GBP3,USP18,B2M,KYNU,STAT2,TRIM25,EDN1"
"GO:BP","immune effector process","GO:0002252","4.2323334063463784e-12","11.373420127638026","1309","26","18","18017","IFI6,IRF7,DDX60,PARP9,IRF9,IFIT3,DDX58,IFIH1,TRIM34,DTX3L,STAT1,IFIT2,SAMHD1,HERC5,GBP3,B2M,STAT2,TRIM25"
"GO:BP","interferon-gamma-mediated signaling pathway","GO:0060333","4.542888884622e-12","11.342667885546298","87","26","9","18017","IRF7,PARP9,IRF9,TRIM34,STAT1,PARP14,SP100,B2M,TRIM25"
"GO:BP","cellular response to organic substance","GO:0071310","4.763030496065602e-10","9.32211663783953","2797","26","21","18017","IFI6,IRF7,PARP9,IRF9,IFIT3,DDX58,IFIH1,TRIM34,STAT1,IFIT2,CCL20,SAMHD1,IFI35,PARP14,SP100,GBP3,USP18,B2M,STAT2,TRIM25,EDN1"
"GO:BP","response to organic substance","GO:0010033","1.532057812520815e-9","8.814724846201425","3433","26","22","18017","IFI6,IRF7,PARP9,IRF9,IFIT3,DDX58,IFIH1,TRIM34,STAT1,IFIT2,CCL20,SAMHD1,IFI35,PARP14,SP100,GBP3,USP18,B2M,KYNU,STAT2,TRIM25,EDN1"
"GO:BP","regulation of response to cytokine stimulus","GO:0060759","8.248144518960828e-9","8.083643738214676","197","26","9","18017","IRF7,PARP9,DDX58,IFIH1,STAT1,SAMHD1,PARP14,USP18,EDN1"
"GO:BP","cellular response to chemical stimulus","GO:0070887","2.6894330298599898e-8","7.570339265706129","3419","26","21","18017","IFI6,IRF7,PARP9,IRF9,IFIT3,DDX58,IFIH1,TRIM34,STAT1,IFIT2,CCL20,SAMHD1,IFI35,PARP14,SP100,GBP3,USP18,B2M,STAT2,TRIM25,EDN1"
"GO:BP","regulation of response to biotic stimulus","GO:0002831","1.8941641189805299e-7","6.722582394456455","405","26","10","18017","IRF7,DDX60,PARP9,DDX58,DTX3L,STAT1,SAMHD1,PARP14,HERC5,USP18"
"GO:BP","positive regulation of response to cytokine stimulus","GO:0060760","2.7942764034393383e-7","6.553730636678808","57","26","6","18017","IRF7,PARP9,DDX58,IFIH1,PARP14,EDN1"
"GO:BP","response to chemical","GO:0042221","0.000001777994687189819","5.750069541075362","4808","26","22","18017","IFI6,IRF7,PARP9,IRF9,IFIT3,DDX58,IFIH1,TRIM34,STAT1,IFIT2,CCL20,SAMHD1,IFI35,PARP14,SP100,GBP3,USP18,B2M,KYNU,STAT2,TRIM25,EDN1"
"GO:BP","regulation of defense response to virus","GO:0050688","0.0000020959239510833547","5.678624479428787","79","26","6","18017","DDX60,PARP9,DDX58,DTX3L,STAT1,HERC5"
"GO:BP","cell surface receptor signaling pathway","GO:0007166","0.0000020962334935125386","5.678560344161478","3250","26","19","18017","IFI6,IRF7,PARP9,IRF9,IFIT3,TRIM34,DTX3L,STAT1,IFIT2,CCL20,SAMHD1,IFI35,PARP14,SP100,USP18,B2M,STAT2,TRIM25,EDN1"
"GO:BP","viral process","GO:0016032","0.0000026447856829402197","5.577609514739389","927","26","12","18017","IRF7,DDX58,IFIH1,TRIM34,DTX3L,STAT1,TRIM14,SAMHD1,SP100,B2M,STAT2,TRIM25"
"GO:BP","symbiotic process","GO:0044403","0.0000053280855185763865","5.273428813126839","986","26","12","18017","IRF7,DDX58,IFIH1,TRIM34,DTX3L,STAT1,TRIM14,SAMHD1,SP100,B2M,STAT2,TRIM25"
"GO:BP","regulation of cytokine-mediated signaling pathway","GO:0001959","0.000009616747358113085","5.016971793168686","184","26","7","18017","IRF7,PARP9,STAT1,SAMHD1,PARP14,USP18,EDN1"
"GO:BP","signal transduction","GO:0007165","0.000038601168668089985","4.413399546664528","6291","26","23","18017","IFI6,IRF7,DDX60,PARP9,IRF9,IFIT3,DDX58,IFIH1,TRIM34,DTX3L,STAT1,IFIT2,CCL20,TRIM14,SAMHD1,IFI35,PARP14,SP100,USP18,B2M,STAT2,TRIM25,EDN1"
"GO:BP","regulation of type I interferon production","GO:0032479","0.00003902627604637737","4.408642887859646","128","26","6","18017","IRF7,DDX58,IFIH1,STAT1,HERC5,TRIM25"
"GO:BP","type I interferon production","GO:0032606","0.00004282855030880289","4.368266625662798","130","26","6","18017","IRF7,DDX58,IFIH1,STAT1,HERC5,TRIM25"
"GO:BP","positive regulation of interferon-alpha production","GO:0032727","0.000049344384264192915","4.306762265929472","23","26","4","18017","IRF7,DDX58,IFIH1,STAT1"
"GO:BP","cellular response to virus","GO:0098586","0.00004991640215115528","4.301756725052598","64","26","5","18017","IFI6,IRF7,DDX60,DDX58,IFIH1"
"GO:BP","regulation of defense response","GO:0031347","0.00007198562659229945","4.142754210718868","751","26","10","18017","IRF7,DDX60,PARP9,DDX58,DTX3L,STAT1,SAMHD1,PARP14,HERC5,USP18"
"GO:BP","response to stimulus","GO:0050896","0.00008021670249288998","4.095735194742509","9430","26","26","18017","IFI6,IRF7,DDX60,PARP9,IRF9,IFIT3,DDX58,IFIH1,TRIM34,DTX3L,STAT1,IFIT2,CCL20,TRIM14,SAMHD1,IFI35,PARP14,HERC5,SP100,GBP3,USP18,B2M,KYNU,STAT2,TRIM25,EDN1"
"GO:BP","positive regulation of defense response to virus by host","GO:0002230","0.00013157806875487073","3.8808164922758","29","26","4","18017","PARP9,DDX58,DTX3L,STAT1"
"GO:BP","regulation of interferon-alpha production","GO:0032647","0.00013157806875487073","3.8808164922758","29","26","4","18017","IRF7,DDX58,IFIH1,STAT1"
"GO:BP","regulation of immune system process","GO:0002682","0.00016624679965902757","3.779246706348482","1648","26","13","18017","IRF7,DDX60,PARP9,DDX58,DTX3L,STAT1,CCL20,SAMHD1,PARP14,HERC5,USP18,B2M,EDN1"
"GO:BP","interferon-alpha production","GO:0032607","0.00017397231386011793","3.759519860306345","31","26","4","18017","IRF7,DDX58,IFIH1,STAT1"
"GO:BP","cytoplasmic pattern recognition receptor signaling pathway in response to virus","GO:0039528","0.00017397231386011793","3.759519860306345","31","26","4","18017","IRF7,DDX60,DDX58,IFIH1"
"GO:BP","signaling","GO:0023052","0.00021386977875143608","3.669850579845321","6814","26","23","18017","IFI6,IRF7,DDX60,PARP9,IRF9,IFIT3,DDX58,IFIH1,TRIM34,DTX3L,STAT1,IFIT2,CCL20,TRIM14,SAMHD1,IFI35,PARP14,SP100,USP18,B2M,STAT2,TRIM25,EDN1"
"GO:BP","regulation of response to external stimulus","GO:0032101","0.00022157662493278339","3.654476057112194","1096","26","11","18017","IRF7,DDX60,PARP9,DDX58,DTX3L,STAT1,SAMHD1,PARP14,HERC5,USP18,EDN1"
"GO:BP","cell communication","GO:0007154","0.00022344275277576617","3.650833726841777","6828","26","23","18017","IFI6,IRF7,DDX60,PARP9,IRF9,IFIT3,DDX58,IFIH1,TRIM34,DTX3L,STAT1,IFIT2,CCL20,TRIM14,SAMHD1,IFI35,PARP14,SP100,USP18,B2M,STAT2,TRIM25,EDN1"
